_id,productTitle,productPrice,productUrl,productImage,mainCategoryName,subCategoryName,shop,brandName
6663ef9027afadaf97944720,Woolworths Milk Chocolate Peanuts 190g,2.6,https://www.woolworths.com.au/shop/productdetails/54641/woolworths-milk-chocolate-peanuts,https://assets.woolworths.com.au/images/1005/54641.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Woolworths
6663ef9027afadaf97944721,Reese's Milk Chocolate Caramel Big Cup 29g,2.5,https://www.woolworths.com.au/shop/productdetails/664550/reese-s-milk-chocolate-caramel-big-cup,https://assets.woolworths.com.au/images/1005/664550.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Reese's
6663ef9027afadaf97944722,Hershey's Cookies 'n' Creme Bar 40g,2.5,https://www.woolworths.com.au/shop/productdetails/277295/hershey-s-cookies-n-creme-bar,https://assets.woolworths.com.au/images/1005/277295.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Hershey's
6663ef9027afadaf97944723,M&m's Crispy Milk Chocolate Snack & Share Bag 145g,3.6,https://www.woolworths.com.au/shop/productdetails/460574/m-m-s-crispy-milk-chocolate-snack-share-bag,https://assets.woolworths.com.au/images/1005/460574.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,M&m's
6663ef9027afadaf97944724,Mars Chocolate Bar With Nougat & Caramel 47g,2.2,https://www.woolworths.com.au/shop/productdetails/160905/mars-chocolate-bar-with-nougat-caramel,https://assets.woolworths.com.au/images/1005/160905.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Mars
6663ef9027afadaf97944725,Twix Milk Chocolate Bar With Caramel Biscuit 50g,2.2,https://www.woolworths.com.au/shop/productdetails/657419/twix-milk-chocolate-bar-with-caramel-biscuit,https://assets.woolworths.com.au/images/1005/657419.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Twix
6663ef9027afadaf97944726,Snickers Chocolate Bar Peanuts Caramel Nougat 44g,2.2,https://www.woolworths.com.au/shop/productdetails/206890/snickers-chocolate-bar-peanuts-caramel-nougat,https://assets.woolworths.com.au/images/1005/206890.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Snickers
6663ef9027afadaf97944727,M&m's Minis Milk Chocolate Treat Tube 35g,1.1,https://www.woolworths.com.au/shop/productdetails/579/m-m-s-minis-milk-chocolate-treat-tube,https://assets.woolworths.com.au/images/1005/579.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,M&m's
6663ef9027afadaf97944728,Pods Pods Twix Chocolate Snack & Share Bag 160g,3.6,https://www.woolworths.com.au/shop/productdetails/460703/pods-twix-chocolate-snack-share-bag,https://assets.woolworths.com.au/images/1005/460703.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Pods
6663ef9027afadaf97944729,Woolworths Milk Chocolate Sultanas 190g,2.6,https://www.woolworths.com.au/shop/productdetails/54640/woolworths-milk-chocolate-sultanas,https://assets.woolworths.com.au/images/1005/54640.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Woolworths
6663ef9027afadaf9794472a,Mars Loaded Lamington Flavour Chocolate Bar 47g,2.2,https://www.woolworths.com.au/shop/productdetails/306743/mars-loaded-lamington-flavour-chocolate-bar,https://assets.woolworths.com.au/images/1005/306743.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Mars
6663ef9027afadaf9794472b,Cadbury Dairy Milk Slices Crackle Chocolate Bar 45g,1,https://www.woolworths.com.au/shop/productdetails/254451/cadbury-dairy-milk-slices-crackle-chocolate-bar,https://assets.woolworths.com.au/images/1005/254451.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Cadbury
